post_id,plage_cote,nature_rando,gastronomie,culture_histoire,velo,voile,campervan,ski,activites_famille,detente,shopping,roadtrip,citytrip,hiver,printemps,ete,automne,2_3_jours,semaine,plus,economique,medium,eleve,bebes,kids,ados,france,angleterre,mediterranee,europe,sans_decalage,plus_loin
6446,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,1,1,1,1,0,1,2,1,0,0,0,0,0,1
28966,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0
26740,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0
11805,0,1,2,2,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0
11957,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0
66788,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0
24812,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1
35692,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0
27462,0,0,2,2,0,0,0,0,2,0,1,0,0,1,2,2,2,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0
18136,0,0,0,2,0,0,0,0,2,0,1,0,0,1,2,2,2,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0
22083,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0
11704,0,1,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,2,1,0,0,0,1,1,0
28263,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0
41188,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0
24298,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1
22888,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1
28426,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
28838,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0
30727,0,2,1,0,0,0,0,0,1,1,0,1,0,0,2,2,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0
30006,1,1,1,0,0,0,0,0,1,1,0,2,0,0,2,2,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0
28206,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0
24505,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1
23815,1,2,0,0,0,0,0,0,1,1,0,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1
50020,0,0,2,2,0,0,0,0,2,0,0,0,0,1,2,2,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
20925,2,2,2,0,0,0,0,0,2,1,0,0,0,1,1,2,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0
20291,0,2,1,0,0,0,0,0,1,0,0,1,0,0,2,2,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0
27731,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
21277,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
26052,0,0,1,1,0,0,0,0,1,0,0,0,0,2,2,1,2,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0
26822,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
